application_id,application_date,application_month,claimed_first_name,claimed_last_name,date_of_birth,age,ssn_last4,address_line,city,state,zip_code,phone_number,email,email_domain,is_free_email_domain,employer_name,employer_industry,annual_income,housing_status,months_at_address,months_at_employer,thin_file_flag,device_id,ip_region,application_hour,num_prev_apps_same_device_7d,num_prev_apps_same_email_30d,num_prev_apps_same_phone_30d,num_prev_apps_same_address_30d,zip_ip_distance_proxy,name_email_match_score,document_uploaded,verification_note,ocr_document_text,address_explanation_text,employment_explanation_text,fraud_label,fraud_type,difficulty_level,generated_signal_score
APP-3EE690F00263,2024-06-06,2024-06,James,James,1975-05-07,49,4345,9856 School Road,New York,NY,10001,276-698-2915,j7961@protonmail.com,protonmail.com,1,Best Buy,retail,47000,rent,30,29,1,DEV-FRAUD-0019,NY,18,2,2,2,0,0.303,0.09,1,Applicant provided additional documentation as requested.,Tax document James James filing address 9856 School Road New York NY,Address provided does not match any documentation.,Income stated inconsistent with employer and role type.,1,true_name_fraud,medium,0.521
APP-FB0ADB8A8220,2024-06-25,2024-06,Pamela,Nguyen,1990-12-16,34,4228,6183 Forest Lane,Atlanta,GA,30301,943-461-1099,pamela.nguyen58@hotmail.com,hotmail.com,1,Ascension Health,healthcare,46000,other,0,1,1,DEV-CLUSTER-0003,GA,14,2,1,2,3,0.324,0.906,1,Unable to verify identity through standard channels.,Pay stub Ascension Health employee Pamela Nguyen period ending current,Temporary housing while relocating to GA for employment.,Career change to healthcare industry and short tenure expected.,1,coordinated_attack,hard,0.606
APP-1EC1BC3345B3,2024-03-26,2024-03,Mark,Ross,1983-10-09,41,3916,2638 Church Street,Cincinnati,OH,45201,343-688-5792,markross@charter.net,charter.net,0,Morgan Stanley,finance,134000,rent,82,47,0,DEV-E16962093E8A4F03,OH,16,0,0,0,0,0.218,0.922,1,Income documentation matches stated amount.,Employer letter confirms salary and start date for Mark Ross,Currently staying with family while apartment lease finalizes.,Started new position at Morgan Stanley last month.,0,legitimate_clean,easy,0.016
APP-DE4634875C44,2024-11-28,2024-11,Thomas,Patel,1971-05-19,53,7569,5080 River Road,Albuquerque,NM,87101,482-743-6857,thomas.p@icloud.com,icloud.com,1,Best Buy,retail,29000,rent,61,11,0,DEV-B0CA0F5F16D24AED,IL,2,0,0,0,1,0.154,0.48,1,Document quality acceptable and all fields readable.,Driver license Thomas Patel DOB verified address Albuquerque NM,College graduate recently moved to new city for first job.,Returned to workforce after parental leave.,0,legitimate_clean,medium,0.204
APP-718B9AE28EF9,2024-05-05,2024-05,Margaret,Robinson,1979-09-09,45,0766,8554 Lincoln Drive,Memphis,TN,38101,630-280-9731,margaret21@ymail.com,ymail.com,1,Goldman Sachs,finance,129000,rent,5,11,0,DEV-EED7742859514A33,CA,22,1,1,0,0,0.324,0.54,1,Name spelling variation noted but documents consistent.,Lease agreement tenant Margaret Robinson property 8554 Lincoln Drive Memphis,Recently relocated for work and mailing and residential address differ temporarily.,Career change to finance industry and short tenure expected.,0,legitimate_noisy,easy,0.252
APP-C12D888F0633,2024-04-18,2024-04,Donald,Hughes,1999-01-23,25,6719,1548 Hillcrest Road,Charlotte,NC,28201,502-765-4337,donaldhughes@enterprisemail.com,enterprisemail.com,0,Wells Fargo,finance,166000,other,12,1,1,DEV-B5F71BCCA09E42EE,NC,3,0,0,0,0,0.315,0.938,1,Documents clear and consistent with application.,Employer letter confirms salary and start date for Donald Hughes,Temporary housing while relocating to NC for employment.,Contractor converted to full-time employee recently.,0,legitimate_noisy,easy,0.262
APP-B81E287A97EE,2024-08-23,2024-08,Ronald,Sanders,1966-07-28,58,9629,2934 Market Street,San Antonio,TX,78201,243-361-2522,account652@yahoo.com,yahoo.com,1,State Farm,insurance,91000,rent,6,0,1,DEV-CLUSTER-0023,AZ,5,2,1,0,3,0.337,0.0,1,Unable to verify employer through listed contact.,Bank statement name does not match Ronald Sanders,College graduate recently moved to new city for first job.,No record of applicant at claimed employer.,1,coordinated_attack,hard,0.705
APP-E2FFA0C087A9,2024-09-22,2024-09,Frank,Kim,1995-07-28,29,3576,6785 Orchard Road,Cleveland,OH,44101,904-855-5982,frank71@corporateemail.com,corporateemail.com,0,Costco,retail,27000,family,46,72,0,DEV-A63512F62B7749CE,OH,19,0,0,0,0,0.24,0.524,1,Employer verified through callback and start date consistent.,Tax document Frank Kim filing address 6785 Orchard Road Cleveland OH,Temporary housing while relocating to OH for employment.,Started new position at Costco last month.,0,legitimate_clean,easy,0.0
APP-813AB71E0666,2024-08-25,2024-08,Deborah,Turner,1990-07-08,34,3807,3609 Broad Street,Kansas City,MO,64101,922-440-6113,account996@workmail.com,workmail.com,0,Morgan Stanley,finance,66000,rent,23,7,0,DEV-3ABECCA04DF44D53,MO,1,0,0,0,0,0.185,0.03,1,Employer verified through callback and start date consistent.,Employer letter confirms salary and start date for Deborah Turner,Moved to Kansas City last month for new job opportunity.,Career change to finance industry and short tenure expected.,0,legitimate_noisy,medium,0.173
APP-3446CE768070,2024-01-28,2024-01,Lisa,Cook,1959-10-22,65,6921,6591 School Road,Columbus,OH,43201,297-659-3037,lisa.cook80@msn.com,msn.com,1,Costco,retail,46000,family,12,15,0,DEV-2A693711108C402E,OR,5,0,0,0,0,0.448,0.851,1,Name spelling variation noted but documents consistent.,Credit union statement member Lisa Cook address verified Columbus,College graduate recently moved to new city for first job.,Career change to retail industry and short tenure expected.,0,legitimate_noisy,hard,0.13
APP-406CF9C800CF,2024-06-03,2024-06,Deborah,Morris,1980-10-10,44,4837,1847 High Street,Las Vegas,NV,89101,222-874-7484,deborah.morris88@cox.net,cox.net,0,Mayo Clinic,healthcare,138000,rent,107,12,0,DEV-DD687BA5596B4CA3,NV,7,0,0,0,0,0.069,0.926,1,Address discrepancy resolved with updated proof.,Pay stub Mayo Clinic employee Deborah Morris period ending current,Recently purchased home and previous address was rental.,Recently joined employer after graduation.,0,legitimate_clean,easy,0.04
APP-EF8CCDE4A315,2024-08-30,2024-08,Mark,Hill,1955-09-17,69,2196,2465 Ranch Drive,Philadelphia,PA,19101,597-448-5177,mhill@companymail.com,companymail.com,0,Microsoft,technology,148000,rent,120,53,0,DEV-7B4469BB465C4CAD,PA,6,0,0,0,0,0.181,0.506,1,Income documentation matches stated amount.,Utility bill account holder Mark Hill service address Philadelphia PA,Recently relocated for work and mailing and residential address differ temporarily.,Started new position at Microsoft last month.,0,legitimate_clean,easy,0.044
APP-92BE6FDBD6FB,2024-10-16,2024-10,Karen,Perez,1970-06-09,54,0405,6447 Hillcrest Road,Fort Worth,TX,76101,976-408-1170,kperez@icloud.com,icloud.com,1,Salesforce,technology,89000,rent,79,50,0,DEV-04275698380840B2,NC,20,0,0,0,0,0.055,0.502,1,Recent address change explained and documented.,Utility statement confirms service address and applicant name,Temporary housing while relocating to TX for employment.,Relocated for spouse employment and found new job in Fort Worth.,0,legitimate_clean,medium,0.086
APP-1D1F4C7527D3,2024-06-20,2024-06,Steven,Phillips,1971-06-11,53,8505,1513 Franklin Avenue,Indianapolis,IN,46201,469-539-9937,user8856@yahoo.com,yahoo.com,1,Starbucks,hospitality,44000,rent,20,8,0,DEV-D7B05769703F4E66,NC,21,0,0,1,0,0.146,0.0,1,Short employment tenure due to recent graduation.,Utility bill account holder Steven Phillips service address Indianapolis IN,Temporary housing while relocating to IN for employment.,Relocated for spouse employment and found new job in Indianapolis.,0,legitimate_noisy,hard,0.18
APP-F298AC588936,2024-09-26,2024-09,William,Chavez,2003-03-27,21,9814,1177 Summit Drive,Kansas City,MO,64101,473-245-6200,yhojku37@icloud.com,icloud.com,1,University of California,education,29000,own,10,2,1,DEV-27DB9D60D4CE436C,MO,16,2,1,0,0,0.142,0.0,0,Address does not match any known residential records.,Mortgage statement borrower William Chavez property Kansas City MO,Currently staying with family while apartment lease finalizes.,Relocated for spouse employment and found new job in Kansas City.,0,legitimate_noisy,medium,0.524
APP-0A8040CC0D97,2024-03-23,2024-03,Ryan,Reed,1965-02-27,59,3022,9530 Jackson Street,Atlanta,GA,30301,484-718-8415,user6477@outlook.com,outlook.com,1,Oracle,technology,179000,rent,11,6,0,DEV-7511285968FC4DC6,GA,4,5,1,1,5,0.811,0.067,1,Application submitted at unusual hour from flagged region.,Bank statement name does not match Ryan Reed,Claimed address appears to be commercial property.,Employment dates inconsistent with provided documentation.,1,synthetic_identity,easy,0.7
APP-66A17087E960,2024-01-27,2024-01,Katherine,Brown,1958-08-06,66,2361,8786 Woodland Avenue,Columbus,OH,43201,296-834-7899,katherine.brown@icloud.com,icloud.com,1,DHL,logistics,54000,own,97,7,1,DEV-1CF0E4B76C2444C7,AZ,7,0,0,0,0,0.048,0.906,1,Short employment tenure due to recent graduation.,Insurance card holder Katherine Brown policy active current address confirmed,Moved to Columbus last month for new job opportunity.,Relocated for spouse employment and found new job in Columbus.,0,legitimate_clean,medium,0.192
APP-749F32322A65,2024-01-28,2024-01,Kenneth,Stewart,1986-04-05,38,1244,4249 Church Street,Los Angeles,CA,90001,566-933-7899,kenneth_stewart@charter.net,charter.net,0,Nationwide,insurance,77000,other,84,29,0,DEV-E1703B4DACCA4491,CA,14,0,0,0,0,0.252,0.878,0,Phone and email both verified successfully.,Direct deposit form Kenneth Stewart employer Nationwide verified,Address updated after recent move and utility transfer in progress.,Career change to insurance industry and short tenure expected.,0,legitimate_clean,easy,0.054
APP-FD7BB8FB66B1,2024-01-26,2024-01,Donald,Cox,1965-02-04,59,9356,3633 Mill Street,San Antonio,TX,78201,942-939-7570,account339@aol.com,aol.com,1,HCA Healthcare,healthcare,46000,rent,1,5,0,DEV-FRAUD-0029,TX,3,2,2,0,3,0.507,0.044,1,Address appears associated with multiple prior applicants.,ID document name spelling inconsistent with application,Applicant unable to clearly explain address discrepancy.,Employment dates inconsistent with provided documentation.,1,synthetic_identity,medium,0.667
APP-F3286422830C,2024-01-06,2024-01,Kenneth,Anderson,1975-07-13,49,8799,7671 Greenwood Drive,Nashville,TN,37201,646-355-3855,k6168@aol.com,aol.com,1,Wells Fargo,finance,104000,rent,1,7,0,DEV-83D4945343FE443F,TN,8,2,3,1,3,0.943,0.0,1,SSN pattern inconsistent with claimed date of birth.,SSN visible digits do not match application,Applicant unable to clearly explain address discrepancy.,Recently joined employer after graduation.,1,synthetic_identity,easy,0.69
APP-D8AC1EA4281C,2024-08-29,2024-08,Eric,Baker,1972-12-08,52,3032,8499 Summit Drive,Albuquerque,NM,87101,574-687-5836,eric.b@gmail.com,gmail.com,1,General Motors,manufacturing,42000,family,114,65,0,DEV-056705CD07BA49D3,NM,17,0,0,0,0,0.076,0.458,1,Income verified through pay stubs provided.,Vehicle registration Eric Baker address Albuquerque NM current,Recently purchased home and previous address was rental.,Promoted internally and tenure reflects new role start date.,0,legitimate_clean,easy,0.069
APP-2D3C8125242F,2024-01-04,2024-01,Susan,Sanders,1990-10-22,34,8615,7182 Heritage Lane,Kansas City,MO,64101,252-555-1107,susan.sanders@verizon.net,verizon.net,0,Intel Corporation,technology,92000,own,79,46,1,DEV-3D77AC3AE337415C,MO,7,1,0,0,0,0.044,0.874,1,Applicant provided additional documentation as requested.,Bank statement Susan Sanders address 7182 Heritage Lane Kansas City MO 64101,Recently relocated for work and mailing and residential address differ temporarily.,Promoted internally and tenure reflects new role start date.,0,legitimate_clean,medium,0.167
